(0, 0, B)	(1, 0, K)	(2, 0, B)	(3, 0, B)	(4, 0, B)	(5, 0, K)	(6, 0, B)	(7, 0, B)	(8, 0, B)	(9, 0, B)	(10, 0, K)	(11, 0, B)	(12, 0, K)	(13, 0, B)	(14, 0, B)	(15, 0, K)	(16, 0, K)	(17, 0, B)	(18, 0, K)	(19, 0, K)	(20, 0, B)	(21, 0, B)	(22, 0, B)	(23, 0, B)	(24, 0, B)	
(0, 1, B)	(1, 1, B)	(2, 1, B)	(3, 1, B)	(4, 1, B)	(5, 1, B)	(6, 1, B)	(7, 1, K)	(8, 1, B)	(9, 1, B)	(10, 1, B)	(11, 1, B)	(12, 1, B)	(13, 1, B)	(14, 1, B)	(15, 1, B)	(16, 1, B)	(17, 1, B)	(18, 1, B)	(19, 1, B)	(20, 1, B)	(21, 1, B)	(22, 1, B)	(23, 1, K)	(24, 1, K)	
(0, 2, B)	(1, 2, B)	(2, 2, B)	(3, 2, B)	(4, 2, B)	(5, 2, K)	(6, 2, B)	(7, 2, B)	(8, 2, B)	(9, 2, K)	(10, 2, K)	(11, 2, B)	(12, 2, B)	(13, 2, K)	(14, 2, K)	(15, 2, K)	(16, 2, B)	(17, 2, B)	(18, 2, B)	(19, 2, K)	(20, 2, K)	(21, 2, B)	(22, 2, B)	(23, 2, K)	(24, 2, B)	
(0, 3, B)	(1, 3, B)	(2, 3, B)	(3, 3, B)	(4, 3, B)	(5, 3, B)	(6, 3, B)	(7, 3, K)	(8, 3, B)	(9, 3, K)	(10, 3, K)	(11, 3, B)	(12, 3, B)	(13, 3, B)	(14, 3, B)	(15, 3, B)	(16, 3, B)	(17, 3, B)	(18, 3, K)	(19, 3, K)	(20, 3, B)	(21, 3, B)	(22, 3, B)	(23, 3, B)	(24, 3, K)	
(0, 4, B)	(1, 4, B)	(2, 4, B)	(3, 4, B)	(4, 4, K)	(5, 4, K)	(6, 4, B)	(7, 4, B)	(8, 4, K)	(9, 4, B)	(10, 4, K)	(11, 4, K)	(12, 4, B)	(13, 4, B)	(14, 4, B)	(15, 4, B)	(16, 4, K)	(17, 4, K)	(18, 4, B)	(19, 4, B)	(20, 4, B)	(21, 4, K)	(22, 4, B)	(23, 4, B)	(24, 4, K)	
(0, 5, B)	(1, 5, B)	(2, 5, K)	(3, 5, B)	(4, 5, B)	(5, 5, B)	(6, 5, B)	(7, 5, K)	(8, 5, K)	(9, 5, K)	(10, 5, K)	(11, 5, B)	(12, 5, B)	(13, 5, K)	(14, 5, B)	(15, 5, B)	(16, 5, B)	(17, 5, B)	(18, 5, B)	(19, 5, B)	(20, 5, B)	(21, 5, B)	(22, 5, K)	(23, 5, K)	(24, 5, K)	
(0, 6, B)	(1, 6, K)	(2, 6, B)	(3, 6, K)	(4, 6, B)	(5, 6, K)	(6, 6, B)	(7, 6, B)	(8, 6, B)	(9, 6, B)	(10, 6, B)	(11, 6, B)	(12, 6, B)	(13, 6, B)	(14, 6, B)	(15, 6, B)	(16, 6, B)	(17, 6, K)	(18, 6, K)	(19, 6, K)	(20, 6, B)	(21, 6, B)	(22, 6, B)	(23, 6, B)	(24, 6, B)	
(0, 7, K)	(1, 7, K)	(2, 7, K)	(3, 7, B)	(4, 7, K)	(5, 7, B)	(6, 7, K)	(7, 7, K)	(8, 7, B)	(9, 7, B)	(10, 7, B)	(11, 7, B)	(12, 7, B)	(13, 7, B)	(14, 7, K)	(15, 7, B)	(16, 7, K)	(17, 7, B)	(18, 7, K)	(19, 7, B)	(20, 7, B)	(21, 7, B)	(22, 7, B)	(23, 7, K)	(24, 7, B)	
(0, 8, K)	(1, 8, B)	(2, 8, B)	(3, 8, B)	(4, 8, K)	(5, 8, B)	(6, 8, K)	(7, 8, K)	(8, 8, B)	(9, 8, K)	(10, 8, B)	(11, 8, B)	(12, 8, B)	(13, 8, B)	(14, 8, B)	(15, 8, B)	(16, 8, B)	(17, 8, B)	(18, 8, B)	(19, 8, B)	(20, 8, B)	(21, 8, K)	(22, 8, K)	(23, 8, K)	(24, 8, B)	
(0, 9, B)	(1, 9, B)	(2, 9, B)	(3, 9, B)	(4, 9, B)	(5, 9, B)	(6, 9, K)	(7, 9, B)	(8, 9, B)	(9, 9, B)	(10, 9, B)	(11, 9, K)	(12, 9, B)	(13, 9, B)	(14, 9, B)	(15, 9, B)	(16, 9, B)	(17, 9, K)	(18, 9, B)	(19, 9, K)	(20, 9, B)	(21, 9, B)	(22, 9, B)	(23, 9, B)	(24, 9, K)	
(0, 10, K)	(1, 10, B)	(2, 10, B)	(3, 10, B)	(4, 10, B)	(5, 10, K)	(6, 10, B)	(7, 10, K)	(8, 10, B)	(9, 10, B)	(10, 10, B)	(11, 10, B)	(12, 10, K)	(13, 10, B)	(14, 10, B)	(15, 10, B)	(16, 10, B)	(17, 10, K)	(18, 10, B)	(19, 10, K)	(20, 10, B)	(21, 10, B)	(22, 10, B)	(23, 10, K)	(24, 10, B)	
